"","user_lat","user_long","freq"
"68",-34,-64,133
"69",-34,20,1
"70",-33.963,22.46173,1
"71",-33.93462,18.86676,1
"72",-33.92584,18.42322,22
"73",-33.91799,25.57007,4
"74",-33.89774,151.17943,1
"75",-33.86785,151.20732,48
"76",-33.81667,151,1
"77",-33.7958,151.041,1
"78",-33.56668,18.48335,2
"79",-33.45694,-70.64827,37
"80",-33.42,151.396,1
"81",-33.23333,-54.38333,1
"82",-33.1852,138.30228,1
"83",-33.13067,-64.34992,5
"84",-33.09231,-64.289,1
"85",-33.03932,-71.62725,2
"86",-33.02457,-71.55183,4
"87",-33.01529,27.91162,2
"88",-33,-56,25
"89",-33,146,3
"90",-32.94682,-60.63932,8
"91",-32.92715,151.77647,5
"92",-32.89084,-68.82717,9
"93",-32.88411,-62.67788,1
"94",-32.84358,-71.20824,1
"95",-32.83369,-70.59827,1
"96",-32.56066,-60.76046,2
"97",-32.36667,-54.18333,1
"98",-32.32139,-58.07556,1
"99",-32.30545,115.6907,1
"100",-32,-59,4
"101",-31.95224,115.8614,4
"102",-31.89756,26.87533,1
"103",-31.80089,-51.76198,1
"104",-31.77194,-52.3425,2
"105",-31.73197,-60.5238,2
"106",-31.6789,-63.87964,2
"107",-31.67315,29.03327,1
"108",-31.63333,-60.7,2
"109",-31.58893,28.78443,1
"110",-31.5667,-58.525,3
"111",-31.55,-68.55,3
"112",-31.5375,-68.53639,1
"113",-31.4135,-64.18105,11
"114",-31.38333,-57.96667,1
"115",-30.60106,-71.19901,1
"116",-30.57643,29.88401,1
"117",-30.03306,-51.23,5
"118",-30,-71,84
"119",-30,-54,26
"120",-29.94444,-50.99194,3
"121",-29.91778,-51.18361,1
"122",-29.90453,-71.24894,1
"123",-29.86139,-51.17917,1
"124",-29.8579,31.0292,4
"125",-29.83333,-51.15,1
"126",-29.75472,-57.08833,1
"127",-29.68417,-53.80694,1
"128",-29.61678,30.39278,1
"129",-29.5,22,1
"130",-29.44806,-51.80639,2
"131",-29.41105,-66.85067,2
"132",-29.31667,27.48333,1
"133",-29.26145,-50.0107,3
"134",-29.225,-51.34778,1
"135",-29.15627,26.35116,3
"136",-29.14003,-59.26256,2
"137",-29.02006,16.73707,2
"138",-29,24,21
"139",-28.78301,32.03768,1
"140",-28.28389,-52.78639,1
"141",-28.26278,-52.40667,1
"142",-28.24,-48.67028,1
"143",-28.00029,153.43088,1
"144",-27.98644,26.70661,1
"145",-27.91828,153.33275,1
"146",-27.79511,-64.26149,12
"147",-27.59667,-48.54917,5
"148",-27.4806,-58.8341,2
"149",-27.46794,153.02809,5
"150",-27.45587,153.04696,1
"151",-27.4,-70.3,1
"152",-27.37708,-52.29009,1
"153",-27.36708,-55.89608,1
"154",-27.23107,-52.30975,1
"155",-27.2077,-54.97977,1
"156",-27.09806,-48.9175,1
"157",-27.09639,-52.61833,1
"158",-27.05694,-49.51778,1
"159",-27,-50,12
"160",-27,133,2
"161",-26.9833,28.2,1
"162",-26.93139,-48.95889,1
"163",-26.91944,-49.06611,1
"164",-26.89889,-48.65417,1
